model,mode,degradation_pct,macro_f1,ci_lo,ci_hi,half_width
baseline,clean,0,0.9757,0.9728,0.9785,0.0029
baseline,hotflip,0,0.7720,0.7648,0.7792,0.0072
baseline,transplant,0,0.7975,0.7903,0.8042,0.0070
masked_p100,clean,0,0.9219,0.9173,0.9267,0.0047
masked_p100,hotflip,0,0.8792,0.8738,0.8845,0.0053
masked_p100,transplant,0,0.9142,0.9092,0.9190,0.0049
normalize_p100,clean,0,0.9297,0.9252,0.9342,0.0045
normalize_p100,hotflip,0,0.8867,0.8815,0.8919,0.0052
normalize_p100,transplant,0,0.9187,0.9139,0.9235,0.0048
normalize_p70,clean,0,0.9610,0.9574,0.9646,0.0036
normalize_p70,hotflip,0,0.8828,0.8774,0.8876,0.0051
normalize_p70,transplant,0,0.9145,0.9094,0.9193,0.0050
ours_p50,clean,0,0.9682,0.9648,0.9716,0.0034
ours_p50,hotflip,0,0.8753,0.8700,0.8806,0.0053
ours_p50,transplant,0,0.9049,0.8996,0.9098,0.0051
ours_p70,clean,0,0.9598,0.9561,0.9634,0.0037
ours_p70,hotflip,0,0.8837,0.8784,0.8889,0.0052
ours_p70,transplant,0,0.9147,0.9096,0.9197,0.0050
