model,attack,n,accuracy,macro_f1
baseline,clean,10000,0.9756,0.9757
baseline,transplant,10000,0.7903,0.7975
baseline,hotflip,10000,0.7731,0.7720
ours_p50,clean,10000,0.9681,0.9682
ours_p50,transplant,10000,0.9042,0.9049
ours_p50,hotflip,10000,0.8759,0.8753
ours_p70,clean,10000,0.9597,0.9598
ours_p70,transplant,10000,0.9138,0.9147
ours_p70,hotflip,10000,0.8827,0.8837
normalize_p70,clean,10000,0.9607,0.9610
normalize_p70,transplant,10000,0.9124,0.9145
normalize_p70,hotflip,10000,0.8812,0.8828
normalize_p100,clean,10000,0.9289,0.9297
normalize_p100,transplant,10000,0.9174,0.9187
normalize_p100,hotflip,10000,0.8841,0.8867
masked_p100,clean,10000,0.9224,0.9219
masked_p100,transplant,10000,0.9146,0.9142
masked_p100,hotflip,10000,0.8789,0.8792
