model,mode,degradation_pct,macro_f1,ci_lo,ci_hi,half_width
baseline,mask,0,0.9757,0.9728,0.9785,0.0029
baseline,mask,25,0.8813,0.8759,0.8868,0.0055
baseline,mask,50,0.6516,0.6428,0.6597,0.0084
baseline,mask,75,0.3467,0.3382,0.3542,0.0080
baseline,mask,100,0.5143,0.5063,0.5212,0.0075
baseline,random,0,0.9757,0.9728,0.9785,0.0029
baseline,random,25,0.9324,0.9281,0.9366,0.0043
baseline,random,50,0.9127,0.9077,0.9175,0.0049
baseline,random,75,0.8856,0.8800,0.8913,0.0057
baseline,random,100,0.8556,0.8496,0.8615,0.0059
baseline,zero,0,0.9757,0.9728,0.9785,0.0029
baseline,zero,25,0.9413,0.9370,0.9454,0.0042
baseline,zero,50,0.9209,0.9163,0.9257,0.0047
baseline,zero,75,0.8960,0.8907,0.9012,0.0053
baseline,zero,100,0.8710,0.8653,0.8767,0.0057
masked_p100,mask,0,0.9219,0.9173,0.9267,0.0047
masked_p100,mask,25,0.8806,0.8750,0.8860,0.0055
masked_p100,mask,50,0.7683,0.7609,0.7759,0.0075
masked_p100,mask,75,0.6983,0.6901,0.7062,0.0080
masked_p100,mask,100,0.8521,0.8458,0.8581,0.0061
masked_p100,random,0,0.9219,0.9173,0.9267,0.0047
masked_p100,random,25,0.9133,0.9083,0.9180,0.0048
masked_p100,random,50,0.9152,0.9099,0.9201,0.0051
masked_p100,random,75,0.9154,0.9103,0.9203,0.0050
masked_p100,random,100,0.9145,0.9095,0.9194,0.0050
masked_p100,zero,0,0.9219,0.9173,0.9267,0.0047
masked_p100,zero,25,0.9031,0.8983,0.9078,0.0047
masked_p100,zero,50,0.9024,0.8974,0.9073,0.0049
masked_p100,zero,75,0.9012,0.8962,0.9061,0.0050
masked_p100,zero,100,0.9013,0.8962,0.9061,0.0050
normalize_p100,mask,0,0.9297,0.9252,0.9342,0.0045
normalize_p100,mask,25,0.8845,0.8790,0.8897,0.0053
normalize_p100,mask,50,0.4810,0.4726,0.4894,0.0084
normalize_p100,mask,75,0.6248,0.6161,0.6330,0.0084
normalize_p100,mask,100,0.7215,0.7132,0.7289,0.0078
normalize_p100,random,0,0.9297,0.9252,0.9342,0.0045
normalize_p100,random,25,0.9171,0.9123,0.9218,0.0048
normalize_p100,random,50,0.9162,0.9113,0.9209,0.0048
normalize_p100,random,75,0.9153,0.9105,0.9198,0.0047
normalize_p100,random,100,0.9171,0.9123,0.9218,0.0047
normalize_p100,zero,0,0.9297,0.9252,0.9342,0.0045
normalize_p100,zero,25,0.9217,0.9169,0.9263,0.0047
normalize_p100,zero,50,0.9198,0.9152,0.9245,0.0046
normalize_p100,zero,75,0.9209,0.9160,0.9257,0.0048
normalize_p100,zero,100,0.9201,0.9153,0.9249,0.0048
normalize_p70,mask,0,0.9610,0.9574,0.9646,0.0036
normalize_p70,mask,25,0.9081,0.9031,0.9129,0.0049
normalize_p70,mask,50,0.8420,0.8357,0.8483,0.0063
normalize_p70,mask,75,0.7804,0.7729,0.7877,0.0074
normalize_p70,mask,100,0.8708,0.8649,0.8764,0.0057
normalize_p70,random,0,0.9610,0.9574,0.9646,0.0036
normalize_p70,random,25,0.9339,0.9295,0.9386,0.0045
normalize_p70,random,50,0.9285,0.9237,0.9330,0.0046
normalize_p70,random,75,0.9207,0.9160,0.9252,0.0046
normalize_p70,random,100,0.9119,0.9067,0.9167,0.0050
normalize_p70,zero,0,0.9610,0.9574,0.9646,0.0036
normalize_p70,zero,25,0.9436,0.9394,0.9478,0.0042
normalize_p70,zero,50,0.9408,0.9364,0.9450,0.0043
normalize_p70,zero,75,0.9356,0.9310,0.9399,0.0045
normalize_p70,zero,100,0.9239,0.9191,0.9284,0.0047
ours_p50,mask,0,0.9682,0.9648,0.9716,0.0034
ours_p50,mask,25,0.9194,0.9146,0.9242,0.0048
ours_p50,mask,50,0.7299,0.7220,0.7377,0.0078
ours_p50,mask,75,0.5895,0.5808,0.5977,0.0085
ours_p50,mask,100,0.7055,0.6969,0.7131,0.0081
ours_p50,random,0,0.9682,0.9648,0.9716,0.0034
ours_p50,random,25,0.9384,0.9340,0.9429,0.0044
ours_p50,random,50,0.9313,0.9267,0.9357,0.0045
ours_p50,random,75,0.9200,0.9150,0.9245,0.0048
ours_p50,random,100,0.9102,0.9052,0.9150,0.0049
ours_p50,zero,0,0.9682,0.9648,0.9716,0.0034
ours_p50,zero,25,0.9487,0.9445,0.9527,0.0041
ours_p50,zero,50,0.9392,0.9349,0.9436,0.0044
ours_p50,zero,75,0.9290,0.9243,0.9337,0.0047
ours_p50,zero,100,0.9189,0.9141,0.9239,0.0049
ours_p70,mask,0,0.9598,0.9561,0.9634,0.0037
ours_p70,mask,25,0.9100,0.9050,0.9152,0.0051
ours_p70,mask,50,0.8364,0.8300,0.8429,0.0065
ours_p70,mask,75,0.6285,0.6198,0.6371,0.0087
ours_p70,mask,100,0.8067,0.8000,0.8135,0.0067
ours_p70,random,0,0.9598,0.9561,0.9634,0.0037
ours_p70,random,25,0.9344,0.9299,0.9388,0.0044
ours_p70,random,50,0.9291,0.9241,0.9337,0.0048
ours_p70,random,75,0.9215,0.9169,0.9262,0.0047
ours_p70,random,100,0.9164,0.9115,0.9213,0.0049
ours_p70,zero,0,0.9598,0.9561,0.9634,0.0037
ours_p70,zero,25,0.9420,0.9377,0.9462,0.0042
ours_p70,zero,50,0.9375,0.9329,0.9418,0.0044
ours_p70,zero,75,0.9303,0.9258,0.9349,0.0045
ours_p70,zero,100,0.9215,0.9164,0.9262,0.0049
