model,mode,drop_0_to_100,drop_ci_lo,drop_ci_hi,reduction_ratio_vs_baseline,ratio_ci_lo,ratio_ci_hi
baseline,mask,0.4615,0.4543,0.4695,,,
masked_p100,mask,0.0698,0.0642,0.0757,6.61,6.11,7.19
normalize_p100,mask,0.2083,0.2007,0.2159,2.22,2.13,2.31
normalize_p70,mask,0.0902,0.0849,0.0959,5.11,4.81,5.42
ours_p50,mask,0.2627,0.2550,0.2712,1.76,1.70,1.81
ours_p70,mask,0.1531,0.1464,0.1597,3.01,2.89,3.15
baseline,random,0.1201,0.1146,0.1261,,,
masked_p100,random,0.0074,0.0040,0.0107,16.22,11.27,29.74
normalize_p100,random,0.0126,0.0093,0.0159,9.55,7.58,12.93
normalize_p70,random,0.0491,0.0450,0.0534,2.44,2.26,2.65
ours_p50,random,0.0580,0.0538,0.0627,2.07,1.94,2.22
ours_p70,random,0.0434,0.0394,0.0476,2.77,2.55,3.03
baseline,zero,0.1047,0.0996,0.1102,,,
masked_p100,zero,0.0206,0.0167,0.0246,5.08,4.28,6.22
normalize_p100,zero,0.0096,0.0063,0.0129,10.88,8.12,16.59
normalize_p70,zero,0.0372,0.0333,0.0411,2.82,2.55,3.13
ours_p50,zero,0.0493,0.0452,0.0537,2.13,1.96,2.31
ours_p70,zero,0.0383,0.0344,0.0425,2.73,2.47,3.05
