model,mode,degradation_pct,delta_vs_baseline,ci_lo,ci_hi,excludes_zero
masked_p100,mask,0,-0.0538,-0.0582,-0.0495,yes
masked_p100,mask,25,-0.0007,-0.0072,0.0054,no
masked_p100,mask,50,0.1168,0.1073,0.1270,yes
masked_p100,mask,75,0.3517,0.3414,0.3622,yes
masked_p100,mask,100,0.3379,0.3295,0.3472,yes
masked_p100,random,0,-0.0538,-0.0582,-0.0495,yes
masked_p100,random,25,-0.0191,-0.0241,-0.0142,yes
masked_p100,random,50,0.0025,-0.0025,0.0078,no
masked_p100,random,75,0.0298,0.0247,0.0355,yes
masked_p100,random,100,0.0589,0.0536,0.0650,yes
masked_p100,zero,0,-0.0538,-0.0582,-0.0495,yes
masked_p100,zero,25,-0.0383,-0.0426,-0.0340,yes
masked_p100,zero,50,-0.0186,-0.0229,-0.0142,yes
masked_p100,zero,75,0.0052,0.0005,0.0099,yes
masked_p100,zero,100,0.0303,0.0255,0.0350,yes
normalize_p100,mask,0,-0.0460,-0.0501,-0.0420,yes
normalize_p100,mask,25,0.0031,-0.0029,0.0091,no
normalize_p100,mask,50,-0.1706,-0.1807,-0.1598,yes
normalize_p100,mask,75,0.2781,0.2676,0.2886,yes
normalize_p100,mask,100,0.2072,0.1971,0.2174,yes
normalize_p100,random,0,-0.0460,-0.0501,-0.0420,yes
normalize_p100,random,25,-0.0153,-0.0201,-0.0106,yes
normalize_p100,random,50,0.0035,-0.0011,0.0080,no
normalize_p100,random,75,0.0297,0.0245,0.0350,yes
normalize_p100,random,100,0.0615,0.0561,0.0671,yes
normalize_p100,zero,0,-0.0460,-0.0501,-0.0420,yes
normalize_p100,zero,25,-0.0196,-0.0247,-0.0145,yes
normalize_p100,zero,50,-0.0011,-0.0062,0.0037,no
normalize_p100,zero,75,0.0249,0.0197,0.0302,yes
normalize_p100,zero,100,0.0491,0.0438,0.0548,yes
normalize_p70,mask,0,-0.0147,-0.0176,-0.0119,yes
normalize_p70,mask,25,0.0267,0.0211,0.0324,yes
normalize_p70,mask,50,0.1905,0.1823,0.1994,yes
normalize_p70,mask,75,0.4337,0.4238,0.4433,yes
normalize_p70,mask,100,0.3565,0.3482,0.3653,yes
normalize_p70,random,0,-0.0147,-0.0176,-0.0119,yes
normalize_p70,random,25,0.0016,-0.0018,0.0052,no
normalize_p70,random,50,0.0158,0.0119,0.0199,yes
normalize_p70,random,75,0.0351,0.0307,0.0398,yes
normalize_p70,random,100,0.0563,0.0513,0.0617,yes
normalize_p70,zero,0,-0.0147,-0.0176,-0.0119,yes
normalize_p70,zero,25,0.0023,-0.0020,0.0068,no
normalize_p70,zero,50,0.0198,0.0151,0.0246,yes
normalize_p70,zero,75,0.0396,0.0348,0.0450,yes
normalize_p70,zero,100,0.0529,0.0474,0.0585,yes
ours_p50,mask,0,-0.0075,-0.0100,-0.0052,yes
ours_p50,mask,25,0.0381,0.0327,0.0437,yes
ours_p50,mask,50,0.0783,0.0690,0.0884,yes
ours_p50,mask,75,0.2428,0.2333,0.2528,yes
ours_p50,mask,100,0.1912,0.1819,0.2009,yes
ours_p50,random,0,-0.0075,-0.0100,-0.0052,yes
ours_p50,random,25,0.0061,0.0026,0.0095,yes
ours_p50,random,50,0.0186,0.0150,0.0225,yes
ours_p50,random,75,0.0344,0.0298,0.0390,yes
ours_p50,random,100,0.0546,0.0500,0.0598,yes
ours_p50,zero,0,-0.0075,-0.0100,-0.0052,yes
ours_p50,zero,25,0.0074,0.0034,0.0117,yes
ours_p50,zero,50,0.0183,0.0135,0.0229,yes
ours_p50,zero,75,0.0330,0.0279,0.0383,yes
ours_p50,zero,100,0.0480,0.0429,0.0534,yes
ours_p70,mask,0,-0.0159,-0.0190,-0.0131,yes
ours_p70,mask,25,0.0287,0.0227,0.0347,yes
ours_p70,mask,50,0.1848,0.1758,0.1952,yes
ours_p70,mask,75,0.2819,0.2711,0.2923,yes
ours_p70,mask,100,0.2924,0.2845,0.3010,yes
ours_p70,random,0,-0.0159,-0.0190,-0.0131,yes
ours_p70,random,25,0.0021,-0.0019,0.0060,no
ours_p70,random,50,0.0164,0.0126,0.0210,yes
ours_p70,random,75,0.0359,0.0312,0.0410,yes
ours_p70,random,100,0.0608,0.0556,0.0663,yes
ours_p70,zero,0,-0.0159,-0.0190,-0.0131,yes
ours_p70,zero,25,0.0007,-0.0036,0.0051,no
ours_p70,zero,50,0.0165,0.0118,0.0214,yes
ours_p70,zero,75,0.0343,0.0294,0.0397,yes
ours_p70,zero,100,0.0505,0.0449,0.0560,yes
