model,mode,degradation_pct,label,class_name,precision,recall,f1
baseline,mask,0,0,Shifu,1.0000,1.0000,1.0000
baseline,mask,0,1,Geodo,0.8873,0.9920,0.9367
baseline,mask,0,2,BitTorrent,1.0000,1.0000,1.0000
baseline,mask,0,3,Gmail,1.0000,1.0000,1.0000
baseline,mask,0,4,Neris,0.9256,0.8960,0.9106
baseline,mask,0,5,SMB,1.0000,1.0000,1.0000
baseline,mask,0,6,Nsis-ay,0.9980,0.9800,0.9889
baseline,mask,0,7,Cridex,0.9978,0.8940,0.9430
baseline,mask,0,8,Zeus,0.9980,0.9960,0.9970
baseline,mask,0,9,Miuref,0.8876,0.8840,0.8858
baseline,mask,0,10,MySQL,1.0000,1.0000,1.0000
baseline,mask,0,11,Virut,0.8627,0.9300,0.8951
baseline,mask,0,12,Weibo,1.0000,1.0000,1.0000
baseline,mask,0,13,WorldOfWarcraft,1.0000,1.0000,1.0000
baseline,mask,0,14,Outlook,1.0000,1.0000,1.0000
baseline,mask,0,15,Facetime,1.0000,1.0000,1.0000
baseline,mask,0,16,Tinba,0.9980,0.9940,0.9960
baseline,mask,0,17,FTP,1.0000,1.0000,1.0000
baseline,mask,0,18,Htbot,0.9773,0.9460,0.9614
baseline,mask,0,19,Skype,1.0000,1.0000,1.0000
baseline,mask,25,0,Shifu,0.9940,0.9860,0.9900
baseline,mask,25,1,Geodo,0.9899,0.5880,0.7378
baseline,mask,25,2,BitTorrent,0.9708,0.9960,0.9832
baseline,mask,25,3,Gmail,0.9960,1.0000,0.9980
baseline,mask,25,4,Neris,0.9235,0.6760,0.7806
baseline,mask,25,5,SMB,0.9421,0.9120,0.9268
baseline,mask,25,6,Nsis-ay,0.7163,0.9240,0.8070
baseline,mask,25,7,Cridex,0.9975,0.8140,0.8965
baseline,mask,25,8,Zeus,0.9855,0.6820,0.8061
baseline,mask,25,9,Miuref,0.8744,0.7380,0.8004
baseline,mask,25,10,MySQL,1.0000,0.9380,0.9680
baseline,mask,25,11,Virut,0.3380,0.9220,0.4946
baseline,mask,25,12,Weibo,0.9366,0.9460,0.9413
baseline,mask,25,13,WorldOfWarcraft,0.9901,0.9960,0.9930
baseline,mask,25,14,Outlook,1.0000,0.9980,0.9990
baseline,mask,25,15,Facetime,0.9973,0.7380,0.8483
baseline,mask,25,16,Tinba,1.0000,0.8520,0.9201
baseline,mask,25,17,FTP,0.9839,0.9800,0.9820
baseline,mask,25,18,Htbot,0.8641,0.6740,0.7573
baseline,mask,25,19,Skype,1.0000,0.9940,0.9970
baseline,mask,50,0,Shifu,0.9979,0.9500,0.9734
baseline,mask,50,1,Geodo,0.9856,0.5460,0.7027
baseline,mask,50,2,BitTorrent,0.9687,0.5580,0.7081
baseline,mask,50,3,Gmail,0.8907,0.9940,0.9395
baseline,mask,50,4,Neris,0.7435,0.6260,0.6797
