model,mode,degradation_pct,accuracy,macro_f1
baseline,mask,0,0.9756,0.9757
baseline,mask,25,0.8677,0.8813
baseline,mask,50,0.6139,0.6516
baseline,mask,75,0.3355,0.3467
baseline,mask,100,0.4973,0.5143
baseline,random,0,0.9756,0.9757
baseline,random,25,0.9310,0.9324
baseline,random,50,0.9099,0.9127
baseline,random,75,0.8815,0.8856
baseline,random,100,0.8502,0.8556
baseline,zero,0,0.9756,0.9757
baseline,zero,25,0.9404,0.9413
baseline,zero,50,0.9202,0.9209
baseline,zero,75,0.8950,0.8960
baseline,zero,100,0.8700,0.8710
ours_p50,mask,0,0.9681,0.9682
ours_p50,mask,25,0.9184,0.9194
ours_p50,mask,50,0.7280,0.7299
ours_p50,mask,75,0.5756,0.5895
ours_p50,mask,100,0.7051,0.7055
ours_p50,random,0,0.9681,0.9682
ours_p50,random,25,0.9383,0.9384
ours_p50,random,50,0.9312,0.9313
ours_p50,random,75,0.9195,0.9200
ours_p50,random,100,0.9098,0.9102
ours_p50,zero,0,0.9681,0.9682
ours_p50,zero,25,0.9476,0.9487
ours_p50,zero,50,0.9379,0.9392
ours_p50,zero,75,0.9276,0.9290
ours_p50,zero,100,0.9176,0.9189
ours_p70,mask,0,0.9597,0.9598
ours_p70,mask,25,0.9084,0.9100
ours_p70,mask,50,0.8301,0.8364
ours_p70,mask,75,0.6373,0.6285
ours_p70,mask,100,0.8025,0.8067
ours_p70,random,0,0.9597,0.9598
ours_p70,random,25,0.9343,0.9344
ours_p70,random,50,0.9289,0.9291
ours_p70,random,75,0.9212,0.9215
ours_p70,random,100,0.9157,0.9164
ours_p70,zero,0,0.9597,0.9598
ours_p70,zero,25,0.9410,0.9420
ours_p70,zero,50,0.9364,0.9375
ours_p70,zero,75,0.9294,0.9303
ours_p70,zero,100,0.9207,0.9215
normalize_p70,mask,0,0.9607,0.9610
normalize_p70,mask,25,0.9047,0.9081
normalize_p70,mask,50,0.8355,0.8420
normalize_p70,mask,75,0.7678,0.7804
normalize_p70,mask,100,0.8657,0.8708
normalize_p70,random,0,0.9607,0.9610
normalize_p70,random,25,0.9335,0.9339
normalize_p70,random,50,0.9279,0.9285
normalize_p70,random,75,0.9197,0.9207
normalize_p70,random,100,0.9103,0.9119
normalize_p70,zero,0,0.9607,0.9610
normalize_p70,zero,25,0.9424,0.9436
normalize_p70,zero,50,0.9395,0.9408
normalize_p70,zero,75,0.9342,0.9356
normalize_p70,zero,100,0.9224,0.9239
