model,accounting,mode,degradation_pct,n,accuracy,macro_f1
strip54,common-subset,-,-,9593,0.9455,0.9467
strip54,deployed-all,-,-,10000,0.9070,0.9057
baseline,common-subset,mask,0,9593,0.9813,0.9813
baseline,common-subset,mask,100,9593,0.5184,0.5349
baseline,common-subset,mask,25,9593,0.9045,0.9105
baseline,common-subset,mask,50,9593,0.6399,0.6766
baseline,common-subset,mask,75,9593,0.3497,0.3654
baseline,common-subset,random,0,9593,0.9813,0.9813
baseline,common-subset,random,100,9593,0.8847,0.8866
baseline,common-subset,random,25,9593,0.9683,0.9687
baseline,common-subset,random,50,9593,0.9469,0.9479
baseline,common-subset,random,75,9593,0.9169,0.9180
baseline,common-subset,zero,0,9593,0.9813,0.9813
baseline,common-subset,zero,100,9593,0.8972,0.8989
baseline,common-subset,zero,25,9593,0.9706,0.9705
baseline,common-subset,zero,50,9593,0.9495,0.9496
baseline,common-subset,zero,75,9593,0.9233,0.9242
normalize_p100,common-subset,mask,0,9593,0.9402,0.9405
normalize_p100,common-subset,mask,100,9593,0.7496,0.7468
normalize_p100,common-subset,mask,25,9593,0.9090,0.9093
normalize_p100,common-subset,mask,50,9593,0.5072,0.4980
normalize_p100,common-subset,mask,75,9593,0.6156,0.6349
normalize_p100,common-subset,random,0,9593,0.9402,0.9405
normalize_p100,common-subset,random,100,9593,0.9400,0.9400
normalize_p100,common-subset,random,25,9593,0.9401,0.9403
normalize_p100,common-subset,random,50,9593,0.9390,0.9393
normalize_p100,common-subset,random,75,9593,0.9399,0.9399
normalize_p100,common-subset,zero,0,9593,0.9402,0.9405
normalize_p100,common-subset,zero,100,9593,0.9396,0.9400
normalize_p100,common-subset,zero,25,9593,0.9409,0.9413
normalize_p100,common-subset,zero,50,9593,0.9389,0.9396
normalize_p100,common-subset,zero,75,9593,0.9403,0.9407
normalize_p70,common-subset,mask,0,9593,0.9658,0.9661
normalize_p70,common-subset,mask,100,9593,0.8927,0.8974
normalize_p70,common-subset,mask,25,9593,0.9334,0.9350
normalize_p70,common-subset,mask,50,9593,0.8613,0.8671
normalize_p70,common-subset,mask,75,9593,0.7907,0.8053
normalize_p70,common-subset,random,0,9593,0.9658,0.9661
normalize_p70,common-subset,random,100,9593,0.9397,0.9413
normalize_p70,common-subset,random,25,9593,0.9627,0.9631
normalize_p70,common-subset,random,50,9593,0.9581,0.9588
normalize_p70,common-subset,random,75,9593,0.9500,0.9510
normalize_p70,common-subset,zero,0,9593,0.9658,0.9661
normalize_p70,common-subset,zero,100,9593,0.9431,0.9443
normalize_p70,common-subset,zero,25,9593,0.9639,0.9644
normalize_p70,common-subset,zero,50,9593,0.9609,0.9615
normalize_p70,common-subset,zero,75,9593,0.9554,0.9563
ours_p50,common-subset,mask,0,9593,0.9735,0.9735
ours_p50,common-subset,mask,100,9593,0.7253,0.7286
ours_p50,common-subset,mask,25,9593,0.9477,0.9477
ours_p50,common-subset,mask,50,9593,0.7492,0.7565
ours_p50,common-subset,mask,75,9593,0.5903,0.6091
ours_p50,common-subset,random,0,9593,0.9735,0.9735
ours_p50,common-subset,random,100,9593,0.9384,0.9389
ours_p50,common-subset,random,25,9593,0.9686,0.9688
ours_p50,common-subset,random,50,9593,0.9614,0.9617
ours_p50,common-subset,random,75,9593,0.9493,0.9500
ours_p50,common-subset,zero,0,9593,0.9735,0.9735
ours_p50,common-subset,zero,100,9593,0.9381,0.9395
ours_p50,common-subset,zero,25,9593,0.9694,0.9696
ours_p50,common-subset,zero,50,9593,0.9592,0.9601
ours_p50,common-subset,zero,75,9593,0.9485,0.9497
ours_p70,common-subset,mask,0,9593,0.9648,0.9647
ours_p70,common-subset,mask,100,9593,0.8181,0.8210
ours_p70,common-subset,mask,25,9593,0.9285,0.9294
ours_p70,common-subset,mask,50,9593,0.8469,0.8462
ours_p70,common-subset,mask,75,9593,0.6459,0.6415
ours_p70,common-subset,random,0,9593,0.9648,0.9647
ours_p70,common-subset,random,100,9593,0.9414,0.9424
ours_p70,common-subset,random,25,9593,0.9612,0.9613
ours_p70,common-subset,random,50,9593,0.9568,0.9571
ours_p70,common-subset,random,75,9593,0.9488,0.9493
ours_p70,common-subset,zero,0,9593,0.9648,0.9647
ours_p70,common-subset,zero,100,9593,0.9413,0.9420
ours_p70,common-subset,zero,25,9593,0.9625,0.9626
ours_p70,common-subset,zero,50,9593,0.9577,0.9580
ours_p70,common-subset,zero,75,9593,0.9504,0.9510
